Date;URALS_price;BRENT_price;RUBLE_EXCHrate;IMOEX_CLOSE;MIACR_RatePerDay;CPI_HighFreq;VIX_volatility
02.09.2020;-0,0218436;-0,025230364;-0,002967323;-0,006218487;0,0412;-0,001195696;26,57
03.09.2020;-0,06565431;-0,008102633;0,003722231;-0,008313885;0,0413;-0,002378184;33,6
04.09.2020;-0,015296367;-0,031994554;0,021787519;-0,003536931;0,0412;-0,000137732;30,75
05.09.2020;0;0;-0,00378571;0;0,0412;0,000330362;30,75
06.09.2020;0;0;0;0;0,0412;0,00011807;30,75
07.09.2020;-0,016262136;-0,015236756;0;0,003676131;0,0403;-3,02405E-05;30,75
08.09.2020;-0,050826548;-0,053082599;0,00543612;-0,014834822;0,0426;0,001333536;31,46
09.09.2020;0,035872108;0,025389643;0,004941064;-0,004403228;0,0414;0,002056779;28,81
10.09.2020;-0,007528231;-0,017896543;0,00140592;0,007468525;0,0412;0,000498111;29,71
11.09.2020;-0,014412137;-0,005741388;-0,007149871;0,004472744;0,0412;0,00173736;26,87
12.09.2020;0;0;-0,008444617;0;0,0412;-0,0007065;26,87
13.09.2020;0;0;0;0;0,0412;-0,000429259;26,87
14.09.2020;-0,013853258;-0,005523475;0;0,006139817;0,0413;0,002106347;25,85
15.09.2020;0,014828304;0,023226458;-0,002334102;0,017825555;0,0417;-0,000163065;25,59
16.09.2020;0,045372981;0,041697508;0,006338771;-0,001868764;0,0423;0,002216469;26,04
17.09.2020;0,035801864;0,025580294;-0,00346596;-0,001099156;0,0427;-0,003533034;26,46
18.09.2020;0,00094697;-0,003464203;0,003554088;-0,006713239;0,0419;-0,001408462;25,83
19.09.2020;0;0;-0,002157084;0;0,0419;0,000123543;25,83
20.09.2020;0;0;0;0;0,0419;0,00015044;25,83
21.09.2020;-0,053216651;-0,0396292;0;-0,029853072;0,0418;0,000183985;27,78
22.09.2020;0,020484637;0,006756757;0,013410296;0,007329755;0,0418;0,001658577;26,86
23.09.2020;0,012239902;0,001198466;0,003064253;0,010999563;0,0421;-0,004397555;28,58
24.09.2020;-0,01185006;0,004069907;0,001093468;-0,001244689;0,0412;0,001250865;28,51
25.09.2020;0,006852668;-0,000476872;0,010785219;-0,00546904;0,0421;0,00325345;26,38
26.09.2020;0;0;-0,004645106;0;0,0421;0,000113523;26,38
27.09.2020;0;0;0;0;0,0421;-0,001247792;26,38
28.09.2020;0,013368984;0,012166031;0;0,010473518;0,0421;0;26,19
29.09.2020;-0,024706165;-0,032995522;0,024105859;-0,005824739;0,0419;0,000872301;26,27
30.09.2020;-0,004181013;-0,001949793;0,012878902;-0,001481039;0,0417;-0,002916096;26,37
01.10.2020;-0,025932329;-0,0004884;-0,011292033;-0,005509651;0,0406;0,001722783;26,7
02.10.2020;-0,016227181;-0,040557049;-0,019131887;-0,012935151;0,0391;0,002938474;27,63
03.10.2020;0;0;0,010534775;0;0,0391;-0,000375092;27,63
04.10.2020;0;0;0;0;0,0391;0,000233929;27,63
05.10.2020;0,028865979;0,051438757;0;0,01036313;0,04;-0,003998961;27,96
06.10.2020;0,027304609;0,032937757;0,000468681;0,00382029;0,04;0,005372967;29,48
07.10.2020;-0,018532065;-0,015474795;0,004912445;-0,017424879;0,0419;0,000289675;28,06
08.10.2020;0,03378882;0,032150512;-0,00534696;0,001340332;0,042;-2,2105E-05;26,36
09.10.2020;0,008892093;-0,011305953;-0,002258871;-0,004321263;0,0425;-0,000242194;25
10.10.2020;0;0;-0,011387949;0;0,0425;0,000136197;25
11.10.2020;0;0;0;0;0,0425;-0,000582142;25
12.10.2020;-0,03406384;-0,026371062;0;0,004251806;0,0421;9,9611E-05;25,07
13.10.2020;0,020715166;0,017497603;-5,842E-05;-0,00594138;0,0422;0,001570615;26,07
14.10.2020;0,007489732;0,0204947;0,003396348;0,009490215;0,0419;0;26,4
15.10.2020;-0,016306954;-0,003693444;-0,000124215;-0,013581552;0,0422;0,000212903;26,97
16.10.2020;0,01243296;-0,005329008;0,00867282;-0,006300381;0,0425;0,000834463;27,41
17.10.2020;0;0;0,000234778;0;0,0425;-0,000766537;27,41
18.10.2020;0;0;0;0;0,0425;0,001730969;27,41
19.10.2020;0,005778955;-0,007221058;0;-0,001882452;0,0419;-0,000314668;29,18
20.10.2020;-0,018673689;0,012670108;-0,000516903;0,003145723;0,042;0,001657754;29,35
21.10.2020;-0,01756526;-0,03313253;-0,001874901;-0,006004153;0,0421;0,001613094;28,65
22.10.2020;0,035013658;0,01749341;-0,00958883;0,0060799;0,0421;-5,78079E-05;28,11
23.10.2020;-0,006477927;-0,016250589;0,000632203;0,004826678;0,0421;0,0003303;27,55
24.10.2020;0;0;-0,007968252;0;0,0421;-0,000353208;27,55
25.10.2020;0;0;0;0;0,0421;0,000302744;27,55
26.10.2020;-0,037913547;-0,031362222;0;-0,01104484;0,0421;-5,28923E-05;32,46
27.10.2020;0,018574297;0,018289669;-0,000292938;-0,008098823;0,042;0,001679873;33,35
28.10.2020;-0,046574667;-0,050485437;0,00014782;-0,02517888;0,0423;0,000228139;40,28
29.10.2020;-0,044197467;-0,037576687;0,014340349;0,005784381;0,0424;0,001415851;37,59
30.10.2020;0,00378583;-0,005046481;0,016993759;-0,006810531;0,0423;0,000804842;38,02
31.10.2020;0;0;0,00586282;0;0,0423;-0,000152929;38,02
01.11.2020;0;0;0;0;0,0423;0,001316779;38,02
02.11.2020;0,003232759;0,040309664;0;0,017449704;0,0416;0,000656099;37,13
03.11.2020;0,041621912;0,018988966;0,015663229;0,017855447;0,0408;0,00041597;35,55
04.11.2020;0,029646816;0,038277512;-0,00712753;0;0,0408;0,002805075;29,57
05.11.2020;0,007761642;-0,007276255;0;0,026905492;0,0413;-0,000662708;27,58
06.11.2020;-0,027826087;-0,036159296;-0,019308605;0,011962717;0,0406;0,00131106;24,86
07.11.2020;0;0;-0,016167044;0;0,0406;0,001763509;24,86
08.11.2020;0;0;0;0;0,0406;0,000136776;24,86
09.11.2020;0,073345259;0,0747782;0;0,03181702;0,0381;-0,001953619;25,75
10.11.2020;0,011904762;0,028537736;-0,00305749;0,003634842;0,0381;0,002850729;24,8
11.11.2020;0,033176471;0,004356799;-0,007195441;0,00547587;0,0411;0,000927581;23,45
12.11.2020;-0,011842405;-0,006164384;-0,002490909;0,003582054;0,0412;-0,000528993;25,35
13.11.2020;-0,020281171;-0,017229497;0,011905652;-0,000201598;0,0415;-0,001394386;23,1
14.11.2020;0;0;0,002741367;0;0,0415;-0,000255817;23,1
15.11.2020;0;0;0;0;0,0415;0;23,1
16.11.2020;0,030345801;0,024310425;0;0,01802183;0,0413;0,001714756;22,45
17.11.2020;-0,021461187;-0,001597444;-0,00525695;-0,008935819;0,0414;0,001829915;22,71
18.11.2020;0,022165189;0,013485714;-0,008667481;0,009324361;0,0408;0,000958031;23,84
19.11.2020;-0,003880393;-0,00315742;-0,004277864;-0,011098199;0,0409;0,000327864;23,11
20.11.2020;0,009624198;0,01719457;0,004423998;0,001493522;0,0406;0,00199704;23,7
21.11.2020;0;0;-0,003287321;0;0,0406;-0,001291901;23,7
22.11.2020;0;0;0;0;0,0406;-0,00016527;23,7
23.11.2020;0,033817522;0,024466192;0;-0,001304473;0,0403;5,43273E-06;22,66
24.11.2020;0,042371021;0,039079462;-0,003315266;0,016008874;0,0402;0;21,64
25.11.2020;0,003159225;0,015670706;0,000720697;0,012494186;0,0405;-0,000658336;21,25
26.11.2020;-0,009657779;-0,016663238;-0,004509685;0,001308015;0,0407;0,002460169;21,25
27.11.2020;0,008903964;0,007949791;-0,000276921;0,001293562;0,0406;-0,003407749;20,84
28.11.2020;0;0;0,005408751;0;0,0406;-0,000180061;20,84
29.11.2020;0;0;0;0;0,0406;0,001784903;20,84
30.11.2020;-0,014078588;-0,012245745;0;-0,011168811;0,0408;0;20,57
01.12.2020;0,021099744;-0,003572179;0,004481946;0,012939329;0,0408;0,00127177;20,77
02.12.2020;0,016489251;0,017503163;0,001580055;0,013285511;0,0406;-0,00058426;21,17
03.12.2020;0,008829569;0,009533679;-0,009240006;-0,008446174;0,0404;0;21,28
04.12.2020;0,015265622;0,011086019;-0,005494934;0,006971957;0,0401;0;20,79
05.12.2020;0;0;-0,012589163;0;0,0401;0;20,79
06.12.2020;0;0;0;0;0,0401;0;20,79
07.12.2020;-0,016639936;-0,009340102;0;0,003253033;0,0376;0,00045646;21,3
08.12.2020;-0,000815494;0,0010248;-3,09752E-05;-0,004841819;0,037;0,00018852;20,68
09.12.2020;-0,00346868;0,0004095;-0,007929902;0,010079853;0,0408;-8,58808E-05;22,27
10.12.2020;0,046273546;0,028448629;-0,004834256;0,014525199;0,0418;0;22,52
11.12.2020;-0,017808219;-0,005572139;0,005548;0,005607201;0,042;0;23,31
12.12.2020;0;0;-0,008043423;0;0,042;0;23,31
